Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:24:18.929000,BOR,5,0 days 00:01:18.469000,21.0,2.0,,,0 days 00:00:20.467000,0 days 00:00:36.884000,0 days 00:00:21.118000,0 days 01:23:20.941000,0 days 01:23:57.825000,0 days 01:24:18.943000,198.0,185.0,250.0,269.0,False,HARD,20.0,True,Audi,0 days 01:23:00.460000,2026-06-07 13:30:52.719,1,19.0,False,,False,True
0 days 01:25:37.006000,BOR,5,0 days 00:01:18.077000,22.0,2.0,,,0 days 00:00:20.485000,0 days 00:00:36.761000,0 days 00:00:20.831000,0 days 01:24:39.428000,0 days 01:25:16.189000,0 days 01:25:37.020000,199.0,187.0,256.0,271.0,False,HARD,21.0,True,Audi,0 days 01:24:18.929000,2026-06-07 13:32:11.188,1,19.0,False,,False,True
0 days 01:26:55.048000,BOR,5,0 days 00:01:18.042000,23.0,2.0,,,0 days 00:00:20.503000,0 days 00:00:36.675000,0 days 00:00:20.864000,0 days 01:25:57.523000,0 days 01:26:34.198000,0 days 01:26:55.062000,197.0,185.0,256.0,271.0,False,HARD,22.0,True,Audi,0 days 01:25:37.006000,2026-06-07 13:33:29.265,1,19.0,False,,False,True
0 days 01:28:13.119000,BOR,5,0 days 00:01:18.071000,24.0,2.0,,,0 days 00:00:20.436000,0 days 00:00:36.739000,0 days 00:00:20.896000,0 days 01:27:15.498000,0 days 01:27:52.237000,0 days 01:28:13.133000,199.0,184.0,257.0,271.0,False,HARD,23.0,True,Audi,0 days 01:26:55.048000,2026-06-07 13:34:47.307,1,19.0,False,,False,True
0 days 01:29:31.543000,BOR,5,0 days 00:01:18.424000,25.0,2.0,,,0 days 00:00:20.567000,0 days 00:00:36.993000,0 days 00:00:20.864000,0 days 01:28:33.700000,0 days 01:29:10.693000,0 days 01:29:31.557000,197.0,186.0,256.0,261.0,False,HARD,24.0,True,Audi,0 days 01:28:13.119000,2026-06-07 13:36:05.378,1,19.0,False,,False,True
0 days 01:30:49.449000,BOR,5,0 days 00:01:17.906000,26.0,2.0,,,0 days 00:00:20.511000,0 days 00:00:36.567000,0 days 00:00:20.828000,0 days 01:29:52.068000,0 days 01:30:28.635000,0 days 01:30:49.463000,203.0,184.0,257.0,271.0,True,HARD,25.0,True,Audi,0 days 01:29:31.543000,2026-06-07 13:37:23.802,1,19.0,False,,False,True
0 days 01:32:07.545000,BOR,5,0 days 00:01:18.096000,27.0,2.0,,,0 days 00:00:20.512000,0 days 00:00:36.665000,0 days 00:00:20.919000,0 days 01:31:09.975000,0 days 01:31:46.640000,0 days 01:32:07.559000,197.0,186.0,256.0,272.0,False,HARD,26.0,True,Audi,0 days 01:30:49.449000,2026-06-07 13:38:41.708,1,19.0,False,,False,True
0 days 01:33:26.442000,BOR,5,0 days 00:01:18.897000,28.0,2.0,,,0 days 00:00:21.064000,0 days 00:00:36.915000,0 days 00:00:20.918000,0 days 01:32:28.623000,0 days 01:33:05.538000,0 days 01:33:26.456000,198.0,186.0,256.0,272.0,False,HARD,27.0,True,Audi,0 days 01:32:07.545000,2026-06-07 13:39:59.804,1,19.0,False,,False,True
0 days 01:34:44.884000,BOR,5,0 days 00:01:18.442000,29.0,2.0,,,0 days 00:00:20.591000,0 days 00:00:36.874000,0 days 00:00:20.977000,0 days 01:33:47.047000,0 days 01:34:23.921000,0 days 01:34:44.898000,198.0,188.0,256.0,272.0,False,HARD,28.0,True,Audi,0 days 01:33:26.442000,2026-06-07 13:41:18.701,1,19.0,False,,False,True
0 days 01:36:03.649000,BOR,5,0 days 00:01:18.765000,30.0,2.0,,,0 days 00:00:20.645000,0 days 00:00:36.868000,0 days 00:00:21.252000,0 days 01:35:05.543000,0 days 01:35:42.411000,0 days 01:36:03.663000,201.0,184.0,253.0,272.0,False,HARD,29.0,True,Audi,0 days 01:34:44.884000,2026-06-07 13:42:37.143,1,19.0,True,TRACK LIMITS AT TURN 10 LAP 30 ,False,True
0 days 01:37:21.939000,BOR,5,0 days 00:01:18.290000,31.0,2.0,,,0 days 00:00:20.626000,0 days 00:00:36.784000,0 days 00:00:20.880000,0 days 01:36:24.289000,0 days 01:37:01.073000,0 days 01:37:21.953000,198.0,183.0,256.0,272.0,False,HARD,30.0,True,Audi,0 days 01:36:03.649000,2026-06-07 13:43:55.908,1,19.0,False,,False,True
0 days 01:38:40.031000,BOR,5,0 days 00:01:18.092000,32.0,2.0,,,0 days 00:00:20.520000,0 days 00:00:36.657000,0 days 00:00:20.915000,0 days 01:37:42.473000,0 days 01:38:19.130000,0 days 01:38:40.045000,197.0,183.0,256.0,271.0,False,HARD,31.0,True,Audi,0 days 01:37:21.939000,2026-06-07 13:45:14.198,1,19.0,False,,False,True
0 days 01:39:58.168000,BOR,5,0 days 00:01:18.137000,33.0,2.0,,,0 days 00:00:20.601000,0 days 00:00:36.686000,0 days 00:00:20.850000,0 days 01:39:00.646000,0 days 01:39:37.332000,0 days 01:39:58.182000,199.0,185.0,256.0,271.0,False,HARD,32.0,True,Audi,0 days 01:38:40.031000,2026-06-07 13:46:32.290,1,19.0,False,,False,True
0 days 01:41:16.401000,BOR,5,0 days 00:01:18.233000,34.0,2.0,,,0 days 00:00:20.607000,0 days 00:00:36.718000,0 days 00:00:20.908000,0 days 01:40:18.789000,0 days 01:40:55.507000,0 days 01:41:16.415000,200.0,184.0,257.0,271.0,False,HARD,33.0,True,Audi,0 days 01:39:58.168000,2026-06-07 13:47:50.427,1,19.0,False,,False,True
0 days 01:42:36.414000,BOR,5,0 days 00:01:20.013000,35.0,2.0,,,0 days 00:00:21.214000,0 days 00:00:37.679000,0 days 00:00:21.120000,0 days 01:41:37.629000,0 days 01:42:15.308000,0 days 01:42:36.428000,182.0,184.0,261.0,270.0,False,HARD,34.0,True,Audi,0 days 01:41:16.401000,2026-06-07 13:49:08.660,1,19.0,False,,False,True
0 days 01:43:56.085000,BOR,5,0 days 00:01:19.671000,36.0,2.0,,,0 days 00:00:20.845000,0 days 00:00:37.476000,0 days 00:00:21.350000,0 days 01:42:57.273000,0 days 01:43:34.749000,0 days 01:43:56.099000,185.0,180.0,260.0,275.0,False,HARD,35.0,True,Audi,0 days 01:42:36.414000,2026-06-07 13:50:28.673,1,19.0,False,,False,True
0 days 01:45:15.990000,BOR,5,0 days 00:01:19.905000,37.0,2.0,,,0 days 00:00:20.873000,0 days 00:00:37.429000,0 days 00:00:21.603000,0 days 01:44:16.972000,0 days 01:44:54.401000,0 days 01:45:16.004000,187.0,184.0,251.0,275.0,False,HARD,36.0,True,Audi,0 days 01:43:56.085000,2026-06-07 13:51:48.344,1,19.0,False,,False,True
0 days 01:46:37.926000,BOR,5,0 days 00:01:21.936000,38.0,2.0,,,0 days 00:00:20.968000,0 days 00:00:37.338000,0 days 00:00:23.630000,0 days 01:45:36.972000,0 days 01:46:14.310000,0 days 01:46:37.940000,193.0,182.0,205.0,279.0,False,HARD,37.0,True,Audi,0 days 01:45:15.990000,2026-06-07 13:53:08.249,1,19.0,False,,False,True
0 days 01:47:58.295000,BOR,5,0 days 00:01:20.369000,39.0,2.0,,,0 days 00:00:21.762000,0 days 00:00:37.442000,0 days 00:00:21.165000,0 days 01:46:59.702000,0 days 01:47:37.144000,0 days 01:47:58.309000,185.0,182.0,258.0,279.0,False,HARD,38.0,True,Audi,0 days 01:46:37.926000,2026-06-07 13:54:30.185,1,19.0,False,,False,True
0 days 01:49:19.321000,BOR,5,0 days 00:01:21.026000,40.0,2.0,,,0 days 00:00:21.175000,0 days 00:00:38.288000,0 days 00:00:21.563000,0 days 01:48:19.484000,0 days 01:48:57.772000,0 days 01:49:19.335000,176.0,180.0,251.0,271.0,False,HARD,39.0,True,Audi,0 days 01:47:58.295000,2026-06-07 13:55:50.554,1,19.0,False,,False,True
0 days 01:50:40.114000,BOR,5,0 days 00:01:20.793000,41.0,2.0,,,0 days 00:00:21.251000,0 days 00:00:37.874000,0 days 00:00:21.668000,0 days 01:49:40.586000,0 days 01:50:18.460000,0 days 01:50:40.128000,174.0,178.0,251.0,277.0,False,HARD,40.0,True,Audi,0 days 01:49:19.321000,2026-06-07 13:57:11.580,1,19.0,False,,False,True
0 days 01:52:02.271000,BOR,5,0 days 00:01:22.157000,42.0,2.0,,,0 days 00:00:22.482000,0 days 00:00:37.962000,0 days 00:00:21.713000,0 days 01:51:02.610000,0 days 01:51:40.572000,0 days 01:52:02.285000,186.0,175.0,251.0,281.0,False,HARD,41.0,True,Audi,0 days 01:50:40.114000,2026-06-07 13:58:32.373,1,19.0,False,,False,True
0 days 01:53:40.291000,BOR,5,0 days 00:01:38.020000,43.0,2.0,,0 days 01:53:16.308000,0 days 00:00:21.386000,0 days 00:00:37.911000,0 days 00:00:38.723000,0 days 01:52:23.671000,0 days 01:53:01.582000,0 days 01:53:40.305000,177.0,179.0,,282.0,False,HARD,42.0,True,Audi,0 days 01:52:02.271000,2026-06-07 13:59:54.530,1,19.0,False,,False,False
0 days 01:55:02.051000,BOR,5,0 days 00:01:21.760000,44.0,3.0,0 days 01:53:41.011000,,0 days 00:00:23.956000,0 days 00:00:37.038000,0 days 00:00:20.766000,0 days 01:54:04.261000,0 days 01:54:41.299000,0 days 01:55:02.065000,183.0,181.0,257.0,270.0,False,MEDIUM,1.0,True,Audi,0 days 01:53:40.291000,2026-06-07 14:01:32.550,1,19.0,False,,False,False
0 days 01:56:19.467000,BOR,5,0 days 00:01:17.416000,45.0,3.0,,,0 days 00:00:20.499000,0 days 00:00:36.410000,0 days 00:00:20.507000,0 days 01:55:22.564000,0 days 01:55:58.974000,0 days 01:56:19.481000,200.0,182.0,257.0,271.0,True,MEDIUM,2.0,True,Audi,0 days 01:55:02.051000,2026-06-07 14:02:54.310,1,18.0,False,,False,True
